CrashID,CrashMasterFile,Lat,Long,rtunique,CurvePresent,GradePresent,BadVisibility,BadWeather,WetRdway,VOSh,Congestion,Speed,Sphr,P_N,VehicleDefect,WorkZone,Animal/Debris,SlipperySurf/WaterPooling,Impaired,Dstracted,Inattention,DrivingTooFast,RightOfWay,ImproperManeuver,FollowTooClose
10551,72267373,38.39542,-85.38218,093-I-0071-010,0,0,1,0,0,0,0,62.14,No,No,0,0,1,0,0,0,0,0,0,0,0
10552,72267377,38.33601,-85.52477,093-I-0071-000,0,1,1,0,0,1,0,68.1,No,No,0,0,0,0,0,0,0,0,0,0,0
10553,72267388,38.29487,-85.62929,056-I-0071-000,0,0,1,0,0,0,0,63.32,No,No,0,0,0,0,0,0,0,0,0,1,0
10555,72267428,39.05435,-84.46894,019-I-0471-000,1,0,0,0,0,1,0,65.24,No,No,0,0,0,0,0,0,0,0,0,0,0
10560,72267516,39.10029,-84.4938,019-I-0471-000,0,0,0,0,0,0,1,26.72,No,No,0,0,0,0,0,0,0,0,0,0,1
10564,72267590,36.79622,-86.47461,107-I-0065-000,0,1,1,0,0,0,0,68.94,No,No,0,0,0,0,0,0,0,0,0,0,0
10565,72267594,39.07076,-84.65495,008-I-0275-000,0,0,0,0,1,1,0,65.24,No,No,0,0,0,0,0,0,0,0,0,1,0
10566,72267608,36.94978,-84.1212,118-I-0075-000,0,0,1,0,0,0,0,65.06,No,No,0,0,0,0,0,0,0,0,0,0,0
10567,72267615,38.39419,-85.38474,093-I-0071-010,0,0,0,0,0,1,0,53.74,No,No,0,0,0,0,0,0,0,0,0,0,0
10568,72267644,37.15657,-84.11306,063-I-0075-010,1,1,1,1,1,1,0,57.7,No,No,0,0,0,1,0,0,0,0,0,0,0
10569,72267672,38.14502,-85.55395,056-I-0265-010,0,0,0,0,0,0,0,61.46,No,No,0,0,0,0,0,0,0,0,0,0,0
10571,72267727,37.50022,-87.47547,054-I-0069-010,0,0,1,0,0,0,0,64.53,No,No,0,0,1,0,0,0,0,0,0,0,0
10572,72267729,38.27246,-85.70115,056-I-0071-000,0,0,0,0,0,0,0,55.3,No,No,0,0,0,0,0,0,1,0,0,0,1
10573,72267741,39.08428,-84.5226,059-I-0075-000,0,1,1,0,0,0,1,18.71,No,No,0,0,0,0,0,0,0,0,0,0,1
10575,72267769,38.07531,-83.95906,087-I-0064-010,0,1,0,0,0,1,0,70.21,No,No,0,0,0,0,1,0,0,0,0,0,0
10576,72267770,38.07498,-83.95957,087-I-0064-000,0,1,0,0,0,0,0,70.21,No,No,0,0,0,0,0,1,0,0,0,0,0
10577,72267783,37.20951,-85.93666,050-I-0065-010,0,0,0,0,0,0,0,70.21,No,No,0,0,0,0,0,0,0,0,0,0,0
